Name,Category,Problem,Solution,When to Use,When NOT to Use,Trade-offs,Related Patterns,Source URL,Keywords,Last Updated,Source Type
Sidecar,Deployment,"Cross-cutting concerns (TLS, observability, traffic shaping) repeated in every service","Run a co-located helper container alongside the app sharing network/lifecycle (e.g. Envoy, OTel collector)","Service mesh, log/metric shipping, secret renewal",Hot paths where extra hop's latency matters; resource-constrained edges,"Per-pod overhead, additional release surface","Service Mesh, Ambassador",istio.io/latest/docs/concepts/what-is-istio/,sidecar envoy istio linkerd otel collector mesh,2026-01-15,
Strangler Fig,Migration,Need to incrementally replace a legacy system without big-bang rewrite,"Front the legacy with a router; carve off and re-implement capabilities one at a time, retiring legacy slices","Brownfield modernisation, monolith-to-microservices",Greenfield projects; when carve-out boundaries aren't yet stable,Long migration period with two systems; routing complexity,"Anti-Corruption Layer, BFF",martinfowler.com/bliki/StranglerFigApplication.html,strangler fig migration legacy monolith decomposition,2026-01-15,
Anti-Corruption Layer,Migration,Integration with legacy or external system would pollute domain model,Translate between models at the boundary; keep your domain pure,"DDD bounded-context integration, third-party SaaS adapters",Tiny adapters where translation is trivial,Extra layer to maintain; potential perf cost,"Bounded Context, Adapter",learn.microsoft.com/azure/architecture/patterns/anti-corruption-layer,anti-corruption layer ddd bounded context translation,2026-01-15,
Backend for Frontend (BFF),API,Different clients (web/mobile/IoT) need different aggregations and shapes from the same backend,One BFF per client type that aggregates and tailors responses,Polyglot client portfolio with divergent needs,Single client; bandwidth-cheap simple APIs,Duplicates aggregation logic across BFFs; potential N+1 to backends,"API Gateway, GraphQL",samnewman.io/patterns/architectural/bff/,bff backend for frontend api gateway aggregation,2026-01-15,
API Gateway,API,Many internal services should not be exposed individually to clients,"Single ingress that handles auth, rate-limit, routing, transformation, observability","Edge of microservices, multi-tenant SaaS",Single small service; gRPC mesh-internal traffic,Single point of contention; deployment coupling risk,"BFF, Service Mesh",kong/krakend/envoy gateway docs,api gateway kong krakend envoy ingress edge,2026-01-15,
Rate Limiting / Throttling,Resilience,Protect downstreams and ensure fair use among tenants,"Token bucket / leaky bucket / sliding window enforced at gateway, service, or per-route","Public APIs, multi-tenant SaaS, abuse protection",Internal trusted RPC with stable load,Tuning per tier; clock skew issues with distributed counters,"Bulkhead, Quota",stripe.com/blog/rate-limiters,rate limit token bucket leaky bucket throttle quota,2026-01-15,
Sharding,Scalability,Single dataset/store cannot meet capacity or latency requirements,"Partition data by a key (hash, range, geo) across nodes; route requests by partition","Multi-tenant data, time-series, very large OLTP",Sub-TB datasets fitting comfortably in a single node,Cross-shard joins/transactions are painful; rebalancing is non-trivial,"Consistent Hashing, Resharding",jepsen.io & db vendor docs,shard partition consistent hashing resharding,2026-01-15,
Read Replica,Scalability,Read-heavy workload saturates the primary,Replicate primary asynchronously to N read-only replicas; route reads via load balancer,"BI/dashboards, search, anything tolerant of lag",Strict read-after-write workloads without read-your-writes routing,Replica lag visibility; stale reads,"Sharding, CQRS",postgres/mysql replication docs,read replica replication async lag failover,2026-01-15,
Materialized View,Performance,Expensive aggregation/join is repeated on every read,Precompute and store the result; refresh on event or schedule,"Dashboards, leaderboards, search-style queries",Highly volatile data with no query reuse,Stale data window; refresh cost & invalidation,"CQRS, Event Sourcing",postgres/snowflake materialized view docs,materialized view projection precompute aggregate,2026-01-15,
Process Manager / Orchestrator,Workflow,"Long-running multi-step process needs explicit state, timers, and recovery","Use a workflow engine (Temporal, Cadence, Step Functions, Camunda) to model state machines/durable executions","Order fulfilment, KYC, ETL pipelines, human-in-the-loop",Simple stateless request/response,Vendor lock-in; engine becomes critical infra; debugging requires tooling,"Saga, Outbox",temporal.io/docs,temporal cadence camunda step functions durable workflow,2026-01-15,
Outbox + Inbox,Messaging,Both atomic publish and idempotent consumption are needed for exactly-once-effect,Producer uses Outbox; consumer uses Inbox table to deduplicate by message id,Critical financial/state-changing events,Pure analytics streams where duplicates are tolerable,Storage overhead; need TTL or compaction on inbox,"Outbox, Idempotency Key",microservices.io patterns,outbox inbox dedup exactly-once idempotent consumer,2026-01-15,
Fan-Out / Scatter-Gather,Concurrency,A request needs results from many backends with bounded latency,"Issue calls in parallel, optionally with hedged requests; aggregate within a deadline","Search aggregation, recommendation, federated queries",Strict serial dependencies; cost-sensitive backends,Tail-latency dominated by slowest dependency unless hedged,"Hedged Requests, Bulkhead",Google SRE: 'The Tail at Scale' (Dean & Barroso),scatter gather fan-out hedged request federated,2026-01-15,
