Service,Provider,Category,Equivalent AWS,Equivalent GCP,Equivalent Azure,Use Case,Strengths,Weaknesses,Pricing Model,Keywords,Notes
Cloud Run,GCP,Serverless containers,App Runner / Lambda (container) / Fargate,Cloud Run,Container Apps,"HTTP services & jobs from a container","Scales to zero, fastest cold-start in class, request-based billing","GCP-only","Per-request + CPU/memory time","cloud run gcp serverless containers","Pin to gen2 + min-instances=0 for 'serverless monolith' that costs ~$0 idle."
GKE,GCP,Kubernetes,EKS,GKE / Autopilot,AKS,"Managed Kubernetes","Best-in-class autoscaling (Autopilot), GKE Enterprise (Anthos)","GCP-only","Cluster + node hourly","gke autopilot anthos","GKE Autopilot abstracts nodes entirely; pay per pod CPU/memory."
BigQuery,GCP,Serverless DWH,Redshift / Athena,BigQuery,Synapse,"Petabyte-scale analytics, ML SQL","Serverless, on-demand SQL, BI Engine, BigQuery ML","On-demand pricing surprises; cross-region transfer cost","Per TB scanned or slot reservations","bigquery dwh slots reservation","Use partition + cluster keys; switch to slot reservations once spend predictable."
Pub/Sub,GCP,Pub/Sub,SNS+SQS,Pub/Sub,Service Bus,"Global pub/sub, event ingestion","Global, autoscale, exactly-once, ordering keys","GCP-only","Per GB","pubsub gcp ordering keys exactly-once","Pub/Sub Lite is cheaper, partitioned, log-style alternative."
Cloud Spanner,GCP,Distributed SQL,Aurora DSQL (preview) / DynamoDB,Spanner,Cosmos DB (SQL API),"Global ACID OLTP","TrueTime, horizontal scale + ACID","Cost; small-query latency","Per node hour","spanner truetime distributed sql","Use granular instances + 'PROCESSING_UNITS' for small workloads."
AKS,Azure,Kubernetes,EKS,GKE,AKS,"Managed Kubernetes","Free control plane (paid SLA tier), AAD integration, Bicep/ARM","Less polished autoscaling than GKE Autopilot","Node hourly + optional SLA","aks kubernetes azure aad","Pair with Azure CNI Overlay + Cilium for modern networking."
Azure Functions,Azure,Serverless function,Lambda,Cloud Functions,Functions,"Event-driven workloads","Tight Azure integration, durable functions for workflows","Cold starts on consumption plan","Per-execution or premium plan","azure functions durable","Durable Functions = Temporal-style orchestration without extra infra."
Cosmos DB,Azure,Multi-model NoSQL,DynamoDB,Spanner / Firestore,Cosmos DB,"Global multi-model (SQL/Mongo/Cassandra/Gremlin/Table) DB","Multi-region writes, 5 consistency levels","RU pricing model has steep learning curve","RU/s","cosmos db ru multi-region","Choose consistency level deliberately (Session is the sweet spot)."
Cloudflare Workers / R2 / D1,Cloudflare,Edge platform,Lambda@Edge / S3 (very different model),N/A,N/A,"Edge functions + storage, no egress fees","Zero-cost egress (R2), global by default, fastest cold-start","Less mature than hyperscaler primitives, KV is eventually consistent","Per-request + per-GB","cloudflare workers r2 d1 kv durable objects","Durable Objects give consistent per-key actor-style state at the edge."
Vercel / Netlify / Render / Fly.io,PaaS,App platform,App Runner / Fargate,Cloud Run,App Service / Container Apps,"Push-to-deploy app hosting","DX & build pipelines, preview environments","Vendor lock-in, less control","Subscription + usage","vercel netlify render fly paas","Fly.io is unique for global, multi-region apps with VM-grade primitives."
